[13:11:24:843] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:905] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:966] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:029] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:090] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:153] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:215] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:276] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:338] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:25:401] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
